Country,City,Lat,Lng,Wind Level,Max Temperature,Humidity,Date,Cloudiness
GB,marsh harbour,53.65,-1.81,3.65,50.0,79,1591478059,40
ZA,kruisfontein,-34.0,24.73,3.02,54.73,98,1591478059,7
RU,kurilsk,45.23,147.88,4.25,45.48,93,1591478059,100
FO,klaksvik,62.23,-6.59,23.04,41.0,86,1591478060,100
PT,ponta delgada,38.73,-28.27,8.05,66.2,72,1591478060,75
RU,saskylakh,71.92,114.08,7.92,41.67,64,1591478060,100
IS,vestmannaeyjar,63.44,-20.27,2.68,50.0,70,1591478060,66
US,grand gaube,38.88,-109.5,14.99,68.0,49,1591478060,20
CL,cape town,-36.41,-71.9,12.75,55.0,76,1591478061,75
US,norman wells,35.22,-97.44,9.17,95.0,46,1591478051,1
IS,east london,65.0,-15.0,6.93,39.2,80,1591478032,75
AR,necochea,-38.55,-58.74,1.01,55.99,88,1591477904,1
CN,hohhot,40.81,111.65,4.47,69.8,37,1591478061,81
RU,volokonovka,50.48,37.86,6.93,63.93,86,1591478062,99
AU,emerald,-23.53,148.17,5.82,59.0,77,1591477863,90
AR,rafaela,-31.25,-61.49,3.09,63.0,54,1591478062,12
IN,along,28.17,94.77,1.1,70.0,90,1591478063,95
TR,zonguldak,41.25,31.83,7.0,65.86,45,1591478063,49
RU,kaspiysk,42.88,47.64,6.71,59.0,72,1591478063,0
RU,baykit,61.67,96.37,3.53,47.64,88,1591478064,30
PH,davila,18.47,120.58,3.49,83.03,72,1591478064,20
GR,pirgos,35.12,25.72,1.99,68.0,85,1591478064,9
ML,san quintin,13.3,-4.9,4.05,92.3,34,1591478064,70
KI,bairiki,1.33,172.98,6.93,82.4,83,1591478065,40
IN,yarada,17.65,83.27,6.73,86.54,77,1591478065,96
BW,francistown,-21.17,27.51,7.16,50.79,80,1591478065,0
US,clyde river,41.3,-82.98,1.99,84.0,46,1591478029,23
CA,pangnirtung,66.15,-65.71,0.31,39.51,74,1591477867,99
AU,carnarvon,-24.87,113.63,5.01,69.71,30,1591478024,0
KI,butaritari,3.07,172.79,9.4,83.52,74,1591478066,1
CN,wuchang,44.91,127.15,6.98,58.89,78,1591478066,27
NZ,waipawa,-41.41,175.52,8.05,46.4,93,1591478067,40
CN,xuanwu,32.07,118.81,6.71,72.0,100,1591478067,79
IN,karwar,14.8,74.13,5.53,79.29,82,1591478068,92
GB,penzance,50.12,-5.54,17.22,54.0,81,1591478068,92
CV,praya,14.92,-23.51,17.22,77.0,65,1591478068,20
ID,bengkulu,-3.8,102.27,3.83,74.03,85,1591478069,1
GL,qaanaaq,77.48,-69.36,1.63,29.39,88,1591478016,0
RU,omsukchan,62.53,155.8,6.29,57.02,46,1591478069,36
NO,berlevag,70.86,29.09,12.59,52.23,78,1591478070,45
JP,hasaki,35.73,140.83,9.17,66.2,88,1591478070,75
RU,belyy yar,55.84,32.94,3.89,58.41,96,1591478070,1
AU,esperance,-33.87,121.9,14.99,53.6,81,1591478071,100
US,glenwood springs,41.54,-87.6,10.22,73.99,53,1591478071,1
US,sunrise manor,26.16,-80.29,10.29,89.01,74,1591478071,20
RU,kamenka,51.32,42.77,1.01,64.99,74,1591478072,100
US,byron bay,44.03,-92.65,8.05,80.6,29,1591478072,1
ML,san jose,13.3,-4.9,4.05,92.3,34,1591477941,70
NZ,bluff,-46.6,168.33,27.34,48.81,75,1591478037,81
PG,samarai,-10.62,150.67,17.29,78.48,82,1591478072,91
ML,taoudenni,22.68,-3.98,30.24,98.87,23,1591478073,0
MM,dawei,14.08,98.2,3.85,78.53,88,1591478073,100
CD,port macquarie,-7.03,29.76,2.55,75.22,57,1591478046,52
AU,katherine,-14.47,132.27,5.97,62.6,67,1591478073,61
IN,kavaratti,10.57,72.64,12.84,84.72,73,1591478073,99
US,nuevo progreso,33.8,-117.15,6.91,71.01,64,1591478074,90
RO,brodina,47.88,25.42,2.82,66.0,77,1591478074,88
MY,kapit,2.02,112.93,1.1,73.38,94,1591478074,100
FR,auray,47.67,-2.99,4.7,55.99,71,1591478074,18
MN,bulgan,48.81,103.53,5.08,49.93,46,1591478075,100
CD,port alberni,-7.03,29.76,2.55,75.22,57,1591478033,52
LR,new norfolk,6.65,-10.59,3.56,76.21,94,1591478034,100
CD,port hedland,-7.03,29.76,2.55,75.22,57,1591478033,52
AU,yulara,-25.24,130.99,6.93,42.8,52,1591478076,35
CA,shelburne,44.08,-80.2,16.11,69.01,52,1591478076,1
NA,swakopmund,-22.68,14.53,12.75,73.4,23,1591478076,0
GL,upernavik,72.79,-56.15,12.77,31.57,95,1591478027,100
KZ,mamlyutka,54.94,68.54,4.05,57.34,65,1591478077,93
PT,camacha,33.08,-16.33,20.8,68.0,88,1591478077,40
CA,tuktoyaktuk,69.45,-133.04,18.34,48.2,57,1591478078,20
AU,mareeba,-17.0,145.43,8.05,69.8,83,1591478078,75
PE,hualmay,-11.1,-77.61,9.53,67.37,73,1591478078,66
CU,banes,20.96,-75.72,9.17,91.4,55,1591478078,75
US,pacific grove,38.48,-90.74,1.01,95.0,49,1591478079,0
SO,odweyne,9.41,45.06,8.59,76.91,62,1591478079,4
RU,khatanga,71.97,102.5,10.49,37.38,73,1591478079,100
RU,leningradskiy,69.38,178.42,7.7,46.11,65,1591478080,0
ID,palu,-0.89,119.87,2.13,75.38,81,1591478080,99
RU,okhotsk,59.38,143.3,6.4,43.5,91,1591478080,99
ML,san policarpo,13.3,-4.9,4.05,92.3,34,1591478064,70
PT,vila velha,42.03,-8.16,9.17,62.01,93,1591478081,75
LK,kalmunai,7.42,81.82,4.03,81.39,71,1591478081,100
CN,erenhot,43.65,111.98,15.9,76.69,25,1591478082,70
BR,rancho palos verdes,-23.02,-52.96,5.44,56.95,84,1591478083,33
CV,praia da vitoria,14.92,-23.51,17.22,77.0,65,1591478083,20
CL,antofagasta,-23.65,-70.4,10.29,60.8,72,1591478083,21
RU,yelizovo,53.19,158.38,4.47,48.2,100,1591478083,90
BR,arraial do cabo,-22.84,-46.65,6.93,73.4,64,1591478017,75
CA,macamic,48.75,-79.0,9.17,50.0,71,1591478084,75
CD,port hardy,-7.03,29.76,2.55,75.22,57,1591478084,52
IN,porbandar,21.64,69.61,11.3,84.85,81,1591478084,0
BD,bandarban,22.2,92.23,3.09,77.2,91,1591478085,38
UY,rocha,-34.48,-54.33,5.91,55.45,95,1591478085,97
SS,raga,8.46,25.68,3.65,72.36,78,1591478085,100
RU,dikson,73.51,80.55,7.23,30.79,96,1591478085,100
RU,cherskiy,68.75,161.3,9.91,51.42,60,1591478085,34
EC,manta,-0.95,-80.73,12.75,78.8,78,1591478023,90
FR,etaples,50.52,1.63,16.11,53.6,87,1591478086,99
KZ,atasu,48.68,71.64,7.83,55.0,50,1591478086,0
ES,ubeda,38.01,-3.37,5.01,71.01,51,1591478086,5
BR,barra patuca,-11.09,-43.14,8.93,79.43,61,1591478087,32
US,barrow,71.29,-156.79,14.99,32.0,87,1591478087,90
SA,faya,18.39,42.45,1.28,66.2,72,1591478087,36
PF,faanui,-16.48,-151.75,2.95,76.69,52,1591478019,0
CN,suileng,47.25,127.08,9.93,60.13,85,1591478088,33
RU,verkhnyaya toyma,60.98,40.21,3.96,52.97,94,1591478088,93
BR,florianopolis,-27.61,-48.5,9.17,73.4,73,1591478088,12
US,haines junction,59.23,-135.44,8.05,71.6,35,1591478089,90
CD,port elizabeth,-7.03,29.76,2.55,75.22,57,1591478033,52
IN,sao joao da barra,20.51,76.21,7.29,79.47,64,1591478090,7
PE,pisco,-13.7,-76.22,11.41,68.0,72,1591478090,40
ES,ribeira grande,42.75,-8.44,8.05,63.0,87,1591478021,75
AR,azul,-36.78,-59.86,1.99,61.0,80,1591478057,0
BR,tarauaca,-8.16,-70.77,1.63,86.5,59,1591478091,31
AR,moron,-34.65,-58.62,1.99,61.0,99,1591478091,69
CN,jinxiang,22.86,115.7,3.96,78.49,88,1591478091,100
AU,cockburn town,-32.08,141.0,4.7,41.0,80,1591478023,0
OM,ibra,22.69,58.53,1.79,83.48,57,1591478092,0
RU,magadan,59.57,150.8,2.77,48.4,78,1591478092,58
CL,coquimbo,-29.95,-71.34,5.82,57.2,71,1591477984,40
ID,sibolga,1.74,98.78,3.78,75.74,75,1591478093,48
GB,mount gambier,53.66,-1.85,3.44,50.0,79,1591478093,37
BB,bathsheba,13.22,-59.52,9.17,80.6,83,1591478093,75
BR,castro,-24.79,-50.01,6.85,55.09,72,1591478022,0
AO,namibe,-15.2,12.15,4.43,71.8,63,1591478035,0
US,college,64.86,-147.8,2.62,71.01,30,1591478094,40
CN,guiyang,26.58,106.72,2.24,68.0,100,1591478094,90
CN,xining,36.62,101.77,1.5,55.62,57,1591478095,100
ID,tual,-5.67,132.75,19.24,79.54,86,1591478095,100
NA,bethanien,-26.5,17.16,8.46,64.47,28,1591478095,0
IN,banswada,18.38,77.88,12.03,81.93,62,1591478096,17
MY,georgetown,5.41,100.34,2.24,80.6,88,1591478097,20
PK,chor,25.52,69.77,15.19,88.05,63,1591478097,0
GW,bubaque,11.28,-15.83,13.18,80.55,78,1591478097,100
NZ,kaitangata,-46.28,169.85,5.99,41.0,71,1591478027,43
PT,ponta do sol,38.73,-28.27,8.05,66.2,72,1591478033,75
GL,nanortalik,60.14,-45.24,23.2,47.26,72,1591478098,100
YT,dzaoudzi,-12.79,45.27,11.41,78.8,74,1591478098,0
IN,razole,16.48,81.83,10.16,87.17,72,1591478098,87
PT,lagoa,39.05,-27.98,7.61,63.16,73,1591478099,48
FR,flin flon,48.5,6.66,4.7,59.0,58,1591478099,95
NA,oranjemund,-28.55,16.43,5.12,56.44,93,1591478100,0
AU,burnie,-41.07,145.92,8.99,43.0,81,1591478101,5
MR,adrar,20.5,-10.07,12.44,92.44,29,1591478102,3
US,portland,45.52,-122.68,3.36,60.01,76,1591477657,90
RU,nyurba,63.28,118.33,4.27,57.04,54,1591478019,0
EC,santo antonio do ica,-0.59,-80.0,4.83,78.73,78,1591478102,79
GL,ilulissat,69.22,-51.1,5.82,39.2,86,1591478034,100
RU,rudnichnyy,59.62,52.47,3.18,52.84,93,1591478103,59
GE,khani,41.96,42.96,10.29,69.8,60,1591478103,91
AU,ulverstone,-41.15,146.17,4.0,37.99,82,1591478103,0
US,somerset east,40.57,-74.55,5.82,88.0,45,1591478103,75
PE,mazamari,-11.33,-74.53,2.33,85.66,44,1591478104,35
RU,darovskoy,58.77,47.96,5.44,55.63,96,1591478105,85
CN,aksu,41.12,80.26,17.02,66.34,39,1591478105,100
RU,bogolyubovo,56.2,40.53,4.29,53.29,83,1591478106,83
MM,pyay,18.82,95.22,5.35,80.4,79,1591478106,100
RU,tarko-sale,64.92,77.78,8.37,42.01,85,1591478107,95
IT,cabras,39.93,8.53,4.0,62.01,55,1591478107,83
AR,viedma,-40.81,-63.0,14.85,54.82,52,1591478107,100
RU,ola,59.58,151.28,1.7,48.11,79,1591478021,57
ML,san patricio,13.3,-4.9,4.05,92.3,34,1591477941,70
CN,chifeng,42.27,118.96,7.36,65.97,52,1591478104,47
BR,planaltina,-15.45,-47.61,6.93,77.0,61,1591478109,40
IR,ravar,31.27,56.81,10.58,83.34,15,1591478109,0
KZ,semey,50.41,80.23,3.2,47.3,93,1591478109,0
RU,ust-kulom,61.69,53.69,3.36,56.41,83,1591478110,8
CV,praia,14.92,-23.51,17.22,77.0,65,1591478083,20
IT,montemarciano,43.64,13.31,3.36,68.0,77,1591478110,0
GL,tasiilaq,65.61,-37.64,4.7,39.2,80,1591478033,100
AU,codrington,-38.27,141.97,5.35,48.51,72,1591478111,100
RU,mugur-aksy,50.35,90.5,9.35,32.56,91,1591478111,100
SA,buraydah,26.33,43.98,8.05,95.0,21,1591478017,20
IN,mon,26.75,95.1,2.91,68.59,92,1591478112,67
MA,nador,35.17,-2.93,3.36,75.2,68,1591477856,99
AU,kyabram,-36.32,145.05,4.0,46.0,87,1591478112,82
PG,angoram,-4.06,144.07,1.92,74.34,98,1591478112,100
KZ,zhezkazgan,47.8,67.71,11.97,61.36,35,1591478113,79
RU,tiksi,71.69,128.87,3.67,34.05,90,1591478113,29
MG,ambilobe,-13.2,49.05,4.0,67.59,89,1591478113,100
TR,akcaabat,41.02,39.57,3.36,66.2,77,1591478114,0
RU,abalak,58.13,68.59,4.07,54.91,71,1591478114,78
FR,cap malheureux,49.27,-1.21,13.87,54.0,87,1591478114,90
GB,mount isa,53.66,-1.85,3.44,50.0,79,1591478115,37
NU,alofi,-19.06,-169.92,9.17,80.6,69,1591478115,27
RU,pevek,69.7,170.31,9.91,44.8,64,1591478115,100
YE,marzuq,14.4,46.47,4.85,83.48,35,1591478115,15
PG,aitape,-3.14,142.35,4.76,78.46,80,1591478116,100
RU,ossora,59.24,163.07,4.7,47.73,77,1591478116,47
BR,cabo san lucas,-8.28,-35.03,16.11,80.6,78,1591478095,75
RU,yerbogachen,61.28,108.01,5.88,54.95,72,1591478116,100
HN,jiquinlaca,14.0,-88.35,4.7,87.8,70,1591478117,20
RU,egvekinot,66.32,-179.17,4.34,50.36,58,1591478117,49
IN,sao filipe,20.51,76.21,7.29,79.47,64,1591478090,7
CN,baiyin,36.56,104.21,4.47,63.0,76,1591478117,94
JP,hirara,24.8,125.28,15.32,82.78,86,1591478118,100
IN,tarabha,20.73,83.65,3.58,88.39,47,1591478118,66
RU,verkhniy fiagdon,45.48,37.72,4.47,57.2,67,1591478118,0
CN,licheng,23.3,113.83,2.24,81.0,94,1591478119,75
ML,araouane,18.9,-3.53,7.47,102.96,15,1591478119,77
MW,nkhotakota,-12.93,34.3,13.35,70.21,66,1591478119,0
CD,port hawkesbury,-7.03,29.76,2.55,75.22,57,1591478119,52
RU,chumikan,54.72,135.31,6.89,38.66,95,1591478119,100
GF,iracoubo,5.48,-53.2,9.57,81.14,83,1591478120,100
GB,stornoway,58.21,-6.39,13.87,48.2,87,1591478120,100
CA,crossfield,51.43,-114.04,3.0,68.0,46,1591478120,100
CN,bin qirdan,35.04,108.08,2.53,72.27,48,1591478120,100
PM,miquelon,47.1,-56.38,5.82,48.2,87,1591478121,75
ID,sinjai,-5.12,120.25,4.09,74.32,90,1591478088,95
IT,lasa,46.62,10.7,6.93,53.6,87,1591478121,75
RU,beringovskiy,63.05,179.32,4.23,42.06,77,1591478121,0
RU,vitim,59.45,112.56,4.25,58.69,56,1591478122,53
FR,monte santo de minas,42.47,9.39,3.36,62.6,93,1591478122,3
US,kahului,20.89,-156.47,16.11,86.0,51,1591477757,40
KM,mitsamiouli,-11.38,43.28,11.43,79.7,74,1591478123,2
SB,kirakira,-10.45,161.92,4.59,80.31,79,1591478123,37
MU,mahebourg,-20.41,57.7,12.75,69.8,83,1591478123,75
PH,cagayan de tawi-tawi,6.97,118.51,9.8,84.33,74,1591478123,100
AZ,shirvan,39.95,48.9,4.14,68.47,58,1591478124,15
IN,dhrangadhra,22.98,71.47,10.58,87.13,67,1591478124,18
MX,acapulco,16.86,-99.89,11.41,86.0,74,1591478023,40
NO,karasjok,69.47,25.51,27.51,53.6,81,1591478124,29
ID,biak,-0.91,122.88,5.64,76.86,83,1591478125,96
RU,dukat,62.55,155.55,5.32,55.27,46,1591478125,34
CA,aklavik,68.22,-135.01,8.05,59.0,41,1591478125,40
ML,kita,13.03,-9.49,0.51,88.14,42,1591478125,41
RU,kostino,58.91,53.27,3.94,54.43,80,1591478031,50
ET,dubti,11.74,41.09,5.28,91.65,34,1591478126,11
AU,maningrida,-12.07,134.27,8.21,70.03,92,1591478126,95
AO,malanje,-9.54,16.34,3.18,66.61,45,1591478126,0
US,broome,42.25,-75.83,17.22,75.99,35,1591478127,1
ES,puerto escondido,36.59,-6.23,11.41,71.01,73,1591478028,0
CL,lebu,-37.62,-73.65,4.41,53.04,85,1591478020,100
GB,ayr,55.46,-4.63,8.05,55.0,87,1591478127,40
ES,puerto carreno,36.59,-6.23,11.41,71.01,73,1591478128,0
RU,provideniya,64.38,-173.3,4.61,47.91,63,1591478018,0
ID,padang,-0.95,100.35,4.27,76.93,74,1591478128,8
US,grand river south east,38.88,-109.5,14.99,68.0,49,1591478116,20
SE,kristinehamn,59.31,14.11,16.11,55.0,71,1591478129,17
AU,geraldton,-28.77,114.6,6.93,64.4,88,1591478037,90
MV,ugoofaaru,5.67,73.0,12.53,84.24,74,1591478129,100
US,warwick,41.7,-71.42,10.29,75.2,94,1591477948,90
US,saraland,30.82,-88.07,13.0,82.0,75,1591478129,100
NG,sapele,5.89,5.68,5.61,75.51,95,1591478130,77
PG,namatanai,-3.67,152.43,0.54,80.31,71,1591478130,75
US,griffith,41.53,-87.42,10.71,73.99,53,1591478034,1
NA,luderitz,-26.65,15.16,8.05,57.2,76,1591478029,0
PE,sechura,-5.56,-80.82,13.42,76.15,58,1591478131,8
MN,hovd,48.01,91.64,3.91,45.07,54,1591478131,98
PK,umarkot,25.36,69.74,15.37,87.3,66,1591478131,0
PH,tuy hoa,14.02,120.73,1.12,84.2,79,1591478132,20
DE,potsdam,52.4,13.07,5.5,55.0,80,1591478132,1
HU,tiszakecske,46.93,20.1,4.7,69.01,77,1591478132,42
RU,srednekolymsk,67.45,153.68,3.87,62.15,42,1591478132,10
PH,basco,20.45,121.97,9.17,84.54,76,1591478133,51
NZ,dunedin,-45.87,170.5,1.01,50.0,56,1591478113,28
JP,kamaishi,39.27,141.88,6.55,59.2,78,1591478133,97
ML,san joaquin,13.3,-4.9,4.05,92.3,34,1591477941,70
PG,kieta,-6.22,155.63,2.77,80.04,77,1591478134,99
FR,draguignan,43.53,6.47,6.93,66.2,72,1591478134,87
CG,djambala,-2.54,14.75,2.89,68.65,97,1591478134,97
RU,oktyabrskoye,43.06,44.74,8.95,60.8,82,1591478134,69
PG,vanimo,-2.67,141.3,2.26,78.35,83,1591478135,61
US,bud,39.45,-86.18,8.05,89.01,40,1591478135,1
US,fairbanks,64.84,-147.72,2.21,71.01,39,1591477860,1
ZA,george,-33.96,22.46,4.7,59.0,87,1591478135,57
PE,chicama,-7.84,-79.15,8.52,72.86,63,1591478136,28
RU,yeniseysk,58.45,92.17,4.47,49.62,83,1591478136,45
GF,sinnamary,5.38,-52.95,9.37,81.34,83,1591478136,100
TR,hakkari,37.58,44.17,4.27,50.81,47,1591478136,0
KZ,zaysan,47.47,84.87,2.55,47.46,81,1591478136,62
NZ,nelson bay,-41.28,173.28,1.99,41.0,93,1591477856,19
CL,constitucion,-35.33,-72.42,9.22,54.09,78,1591478018,100
NZ,ahipara,-35.17,173.17,12.17,57.2,85,1591478138,38
GY,mabaruma,8.2,-59.78,7.31,83.52,68,1591478138,93
IN,tirumullaivasal,11.23,79.83,10.07,76.77,90,1591478138,100
TR,mersin,36.86,34.65,6.93,78.8,36,1591478138,7
US,sitka,57.05,-135.33,17.22,53.6,76,1591478020,75
IN,mulanur,10.77,77.72,16.28,77.47,78,1591478139,100
US,avera,33.19,-82.53,13.87,86.0,94,1591478139,75
MG,beloha,-25.17,45.05,16.62,65.8,73,1591478139,0
BR,cidreira,-30.18,-50.21,7.85,61.03,68,1591477866,85
US,kodiak,57.79,-152.41,5.82,55.4,54,1591478007,90
SA,najran,17.49,44.13,4.54,82.4,26,1591478140,40
BR,maragogi,-9.01,-35.22,9.73,77.31,85,1591478140,13
KZ,aqtobe,50.28,57.21,4.47,53.6,76,1591478140,32
US,glendive,47.11,-104.71,21.92,75.0,56,1591478141,1
CA,atikokan,48.76,-91.62,3.94,73.53,24,1591478141,95
PH,sulangan,11.14,123.72,1.07,84.47,70,1591478141,100
RU,tver,56.86,35.89,5.12,58.05,96,1591478141,25
US,sayville,40.74,-73.08,12.75,79.0,78,1591477874,75
GH,takoradi,4.88,-1.76,9.78,78.69,87,1591478142,92
ZA,ilinge,-31.98,27.04,2.21,45.03,63,1591478142,0
PH,anito,12.45,125.29,3.78,79.14,86,1591478142,100
BD,nabinagar,23.89,90.97,6.93,80.6,88,1591478143,75
MX,guerrero negro,17.67,-100.0,2.13,86.29,47,1591478143,34
ZA,saldanha,-33.01,17.94,5.82,53.6,87,1591478030,23
IS,akureyri,65.68,-18.09,4.7,42.8,70,1591478143,20
BF,gaoua,10.3,-3.25,4.94,85.42,51,1591478143,59
IN,tura,25.52,90.22,3.29,73.18,96,1591478144,5
JP,nemuro,43.32,145.57,5.44,49.98,92,1591478144,94
NO,sorland,67.67,12.69,11.77,51.93,79,1591478144,0
BR,caravelas,-17.71,-39.25,5.39,72.5,88,1591478145,11
ML,bafoulabe,13.81,-10.83,3.96,100.09,26,1591478145,46
GB,inverness,57.48,-4.22,10.29,50.0,81,1591478145,100
NZ,kaeo,-35.1,173.78,1.01,52.0,3,1591478146,16
SN,oussouye,12.48,-16.55,4.7,82.4,78,1591478146,95
MX,rosarito,32.33,-117.03,19.46,71.01,68,1591478124,75
CO,mitu,1.2,-70.17,1.45,80.83,92,1591478089,92
GL,maniitsoq,65.42,-52.9,12.41,45.66,73,1591478147,100
GB,brae,60.4,-1.35,24.16,48.2,93,1591478147,100
RU,chokurdakh,70.63,147.92,6.44,59.94,41,1591478147,81
CL,coihaique,-45.58,-72.07,4.7,42.8,87,1591477982,90
GH,axim,4.87,-2.24,8.72,77.9,89,1591478148,98
AU,ballarat,-37.57,143.85,3.42,46.0,78,1591478148,12
BR,urucui,-7.23,-44.56,5.59,81.37,65,1591478148,60
KR,seoul,37.57,126.98,2.24,68.0,88,1591478066,40
RE,saint-joseph,-21.37,55.62,9.17,68.0,52,1591478149,90
CA,thompson,55.74,-97.86,10.29,64.4,25,1591478149,40
US,oskaloosa,41.3,-92.64,9.17,91.4,36,1591478149,1
CA,port-cartier,50.03,-66.87,8.05,55.4,47,1591478149,75
US,northampton,40.88,-75.25,1.01,86.0,40,1591478150,61
US,grafton,42.21,-71.69,11.25,73.0,89,1591478091,61
BR,buritizeiro,-17.35,-44.96,2.06,71.65,65,1591478150,0
RU,agirish,61.92,63.02,6.35,64.62,66,1591478150,69
US,clovis,36.83,-119.7,6.93,80.01,27,1591478036,20
BR,pontes e lacerda,-4.83,-43.37,4.7,86.0,55,1591478151,20
EG,safaga,26.73,33.94,6.78,86.0,28,1591478151,0
US,palmer,42.16,-72.33,4.7,80.6,65,1591478152,40
US,salinas,36.68,-121.66,14.99,68.0,45,1591478152,1
US,laguna,38.42,-121.42,17.22,78.01,31,1591478152,1
GL,sisimiut,66.94,-53.67,13.91,47.03,69,1591478152,77
RU,gubkinskiy,64.43,76.5,7.92,47.46,56,1591478153,4
RU,russkiy aktash,43.01,131.86,4.47,50.0,100,1591478153,34
IN,sirsi,14.62,74.85,4.94,71.22,92,1591478153,100
US,francisco sa,38.33,-87.45,3.0,95.0,42,1591478154,0
BR,navirai,-23.07,-54.19,2.93,60.24,73,1591478154,20
ID,kambam,5.25,96.86,4.32,78.12,77,1591478154,100
NO,kjollefjord,70.95,27.35,12.15,55.02,75,1591478154,58
NG,fowa,8.92,6.4,3.0,79.32,78,1591478155,98
KZ,makat,47.65,53.35,6.49,75.78,31,1591478155,20
CA,ottawa,45.41,-75.7,10.29,70.0,68,1591477866,75
MG,morondava,-20.28,44.28,9.91,74.3,61,1591478156,0
SO,eyl,7.98,49.82,16.75,86.5,57,1591478034,14
US,marshfield,44.67,-90.17,10.29,73.4,46,1591478062,1
IT,bose,45.46,8.01,1.01,64.0,87,1591478038,25
NO,larsnes,62.2,5.58,5.01,53.01,88,1591478156,100
CI,tabou,4.42,-7.35,8.86,78.51,87,1591478157,100
JP,katsuura,35.13,140.3,3.0,69.01,72,1591478033,100
RU,verkhoyansk,67.54,133.38,2.24,64.2,29,1591478157,8
NO,skjervoy,70.03,20.97,13.8,52.97,75,1591478157,0
RU,ostrovnoy,68.05,39.51,12.86,57.83,67,1591478158,33
